Price,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Last Sold Year,Last Sold For,Address,City,State,Zipcode,Address Full
225000.0,2164.0,-97.45164,32.727917,7800.0,6.0,4.0,2006.0,2019.0,125000.0," 3113 Karen St Fort Worth, TX 76116 ",Fort Worth,TX,76116.0,"3113 Karen St, Fort Worth, TX 76116"
899000.0,3100.0,-87.6497,41.941612,11325.6,3.0,3.0,1898.0,2004.0,735000.0," 811 W Aldine Ave #6S Chicago, IL 60657 ",Chicago,IL,60657.0,"811 W Aldine Ave #6S, Chicago, IL 60657"
149900.0,2834.0,-81.80678,41.488087,4800.0,5.0,3.0,1920.0,2019.0,125000.0," 1293 Summit Ave Lakewood, OH 44107 ",Lakewood,OH,44107.0,"1293 Summit Ave, Lakewood, OH 44107"
368000.0,2163.0,-115.21593,36.12987,8276.0,4.0,3.0,1977.0,2003.0,280000.0," 5454 W Desert Inn Rd Las Vegas, NV 89146 ",Las Vegas,NV,89146.0,"5454 W Desert Inn Rd, Las Vegas, NV 89146"
495000.0,3393.0,-84.3095,33.952374,17424.0,5.0,4.0,1972.0,2019.0,125000.0," 1915 Mount Vernon Pl Atlanta, GA 30338 ",Atlanta,GA,30338.0,"1915 Mount Vernon Pl, Atlanta, GA 30338"
441000.0,1191.0,-75.1306,39.975113,4356.0,2.0,1.0,1900.0,2019.0,125000.0," 1714 Memphis St #404 Philadelphia, PA 19125 ",Philadelphia,PA,19125.0,"1714 Memphis St #404, Philadelphia, PA 19125"
79000.0,802.0,-84.41958,33.675583,7000.0,2.0,1.0,1950.0,1999.0,15700.0," 2912 Palm Dr Atlanta, GA 30344 ",Atlanta,GA,30344.0,"2912 Palm Dr, Atlanta, GA 30344"
355000.0,2493.0,-115.25038,36.000526,5227.0,4.0,3.0,2007.0,2009.0,195000.0," 7227 Childers Ave Las Vegas, NV 89178 ",Las Vegas,NV,89178.0,"7227 Childers Ave, Las Vegas, NV 89178"
168000.0,1440.0,-115.20904,36.104565,3920.0,3.0,2.0,1977.0,2008.0,150000.0," 4979 Ridge Dr Las Vegas, NV 89103 ",Las Vegas,NV,89103.0,"4979 Ridge Dr, Las Vegas, NV 89103"
328500.0,1482.0,-115.11364,35.944393,5227.0,2.0,2.0,2002.0,2002.0,206691.0," 2309 Fossil Canyon Dr Henderson, NV 89052 ",Henderson,NV,89052.0,"2309 Fossil Canyon Dr, Henderson, NV 89052"
601990.0,3077.0,-117.53883,34.00219,7405.0,5.0,3.0,2018.0,2019.0,125000.0," 11693 Daisy Ct Mira Loma, CA 91752 ",Mira Loma,CA,91752.0,"11693 Daisy Ct, Mira Loma, CA 91752"
259900.0,1997.0,-111.68322,33.397152,10657.0,2.0,2.0,1962.0,2013.0,167500.0," 916 S Saranac Ave Mesa, AZ 85208 ",Mesa,AZ,85208.0,"916 S Saranac Ave, Mesa, AZ 85208"
330000.0,1310.0,-122.808685,45.425224,1742.0,3.0,3.0,2000.0,2019.0,337000.0," 13081 SW Raptor Pl Tigard, OR 97223 ",Tigard,OR,97223.0,"13081 SW Raptor Pl, Tigard, OR 97223"
199500.0,1341.0,-96.67103,32.769,6075.0,3.0,2.0,2019.0,2019.0,125000.0," 3610 Darby Dr Dallas, TX 75227 ",Dallas,TX,75227.0,"3610 Darby Dr, Dallas, TX 75227"
139500.0,1478.0,-81.5439,41.49799,5440.0,3.0,2.0,1946.0,2015.0,135000.0," 3789 Silsby Rd Cleveland, OH 44118 ",Cleveland,OH,44118.0,"3789 Silsby Rd, Cleveland, OH 44118"
22900.0,860.0,-83.00979,42.438282,4400.0,2.0,1.0,1949.0,2019.0,125000.0," 19438 Algonac St Detroit, MI 48234 ",Detroit,MI,48234.0,"19438 Algonac St, Detroit, MI 48234"
149900.0,1268.0,-117.48442,47.854496,111949.2,3.0,2.0,1978.0,2019.0,125000.0," 21621 N Monroe Rd Spokane, WA 99208 ",Spokane,WA,99208.0,"21621 N Monroe Rd, Spokane, WA 99208"
334900.0,4081.0,-86.89182,33.342735,3720.0,4.0,4.0,2007.0,2011.0,150000.0," 5761 Park Side Pass Hoover, AL 35244 ",Hoover,AL,35244.0,"5761 Park Side Pass, Hoover, AL 35244"
153900.0,1050.0,-95.46834,29.9814,4199.0,3.0,2.0,1998.0,2019.0,125000.0," 13707 Corrigan Dr Houston, TX 77014 ",Houston,TX,77014.0,"13707 Corrigan Dr, Houston, TX 77014"
